qualifier,element
,provenance
license,rights
,contributor
advisor,contributor
author,contributor
editor,contributor
illustrator,contributor
other,contributor
spatial,coverage
temporal,coverage
,creator
,date
accessioned,date
available,date
copyright,date
created,date
issued,date
submitted,date
,identifier
citation,identifier
govdoc,identifier
isbn,identifier
issn,identifier
sici,identifier
ismn,identifier
other,identifier
uri,identifier
,description
abstract,description
provenance,description
sponsorship,description
statementofresponsibility,description
tableofcontents,description
uri,description
,format
extent,format
medium,format
mimetype,format
,language
iso,language
,publisher
,relation
isformatof,relation
ispartof,relation
ispartofseries,relation
haspart,relation
isversionof,relation
hasversion,relation
isbasedon,relation
isreferencedby,relation
requires,relation
replaces,relation
isreplacedby,relation
uri,relation
,rights
uri,rights
,source
uri,source
,subject
classification,subject
ddc,subject
lcc,subject
lcsh,subject
mesh,subject
other,subject
,title
alternative,title
,type
updated,date
version,description
slug,identifier
rfc3066,language
holder,rights
